"design_id","component_order","material_name_original","size_or_spec_original","quantity","source_row_price","source_price_unit_status","notes"
"zhulegezhu-design-square-20260714-zhuohua",,"红玛瑙",,,,,"来源详情页显示值；不推断为整串成本。"
"zhulegezhu-design-square-20260714-zhuohua",,"圆珠(钛钢)",,,,,"来源详情页显示值；不推断为整串成本。"
"zhulegezhu-design-square-20260714-zhuohua",,"莲花沙金(沙金)",,,,,"来源详情页显示值；不推断为整串成本。"
"zhulegezhu-design-square-20260714-zhuohua",,"浅晴水",,,,,"来源详情页显示值；不推断为整串成本。"
"zhulegezhu-design-square-20260714-zhuohua",,"花托金色",,,,,"来源详情页显示值；不推断为整串成本。"
