"design_id","component_order","material_name_original","size_or_spec_original","quantity","source_row_price","source_price_unit_status","notes"
"zhulegezhu-design-square-20260714-bayue",,"鸽血红草莓晶",,,,,"来源详情页显示值；不推断为整串成本。"
"zhulegezhu-design-square-20260714-bayue",,"金曜石",,,,,"来源详情页显示值；不推断为整串成本。"
"zhulegezhu-design-square-20260714-bayue",,"淡水珍珠",,,,,"来源详情页显示值；不推断为整串成本。"
"zhulegezhu-design-square-20260714-bayue",,"转经筒",,,,,"来源详情页显示值；不推断为整串成本。"
"zhulegezhu-design-square-20260714-bayue",,"羊猴守护神(沙金)",,,,,"来源详情页显示值；不推断为整串成本。"
