"design_id","component_order","material_name_original","size_or_spec_original","quantity","source_row_price","source_price_unit_status","notes"
"zhulegezhu-design-square-20260714-jinriyinafu",,"圆珠(钛钢)",,,,,"来源详情页显示值；不推断为整串成本。"
"zhulegezhu-design-square-20260714-jinriyinafu",,"碧玉（有黑点）",,,,,"来源详情页显示值；不推断为整串成本。"
"zhulegezhu-design-square-20260714-jinriyinafu",,"淡水珍珠",,,,,"来源详情页显示值；不推断为整串成本。"
"zhulegezhu-design-square-20260714-jinriyinafu",,"锆石隔片",,,,,"来源详情页显示值；不推断为整串成本。"
"zhulegezhu-design-square-20260714-jinriyinafu",,"老山檀(沉水)",,,,,"来源详情页显示值；不推断为整串成本。"
