"design_id","component_order","material_name_original","size_or_spec_original","quantity","source_row_price","source_price_unit_status","notes"
"zhulegezhu-design-square-20260714-judiaoriguang",,"白水晶",,,,,"来源详情页显示值；不推断为整串成本。"
"zhulegezhu-design-square-20260714-judiaoriguang",,"圆珠(钛钢)",,,,,"来源详情页显示值；不推断为整串成本。"
"zhulegezhu-design-square-20260714-judiaoriguang",,"小胖福(沙金)",,,,,"来源详情页显示值；不推断为整串成本。"
"zhulegezhu-design-square-20260714-judiaoriguang",,"金福禄",,,,,"来源详情页显示值；不推断为整串成本。"
"zhulegezhu-design-square-20260714-judiaoriguang",,"柠檬黄水晶",,,,,"来源详情页显示值；不推断为整串成本。"
"zhulegezhu-design-square-20260714-judiaoriguang",,"花丝葫芦(沙金)",,,,,"来源详情页显示值；不推断为整串成本。"
"zhulegezhu-design-square-20260714-judiaoriguang",,"钱币",,,,,"来源详情页显示值；不推断为整串成本。"
"zhulegezhu-design-square-20260714-judiaoriguang",,"金虎机",,,,,"来源详情页显示值；不推断为整串成本。"
"zhulegezhu-design-square-20260714-judiaoriguang",,"招财纳福",,,,,"来源详情页显示值；不推断为整串成本。"
