"source","component_type","category","material_name_en","material_name_cn","color_or_family","grade","form","size_mm","dimensions_mm","public_price_usd","price_type","availability","local_image_path","image_file","source_item_id","notes"
"Annflora Crystal Weave","bead","Agate","Red Agate Abacus Bead","红玛瑙算盘珠","not disclosed","not disclosed","non-round (3 x 6 mm)","6","6 x 3","3","source material-card price","not stated","D:\Code\knowledge-base\01-AI营销\04-选品库\C端\01-疗愈水晶\07-互动工具\crystal-bracelet-builder\data\v3\research\overseas-visual-evidence\annflora-crystal-weave-20260713\prod_046.png","prod_046.png","prod_046","One local image may serve several size variants."
"Annflora Crystal Weave","bead","Agate","Yellow Agate","黄玛瑙","not disclosed","not disclosed","not stated (round-looking image)","8","8","5","source material-card price","not stated","D:\Code\knowledge-base\01-AI营销\04-选品库\C端\01-疗愈水晶\07-互动工具\crystal-bracelet-builder\data\v3\research\overseas-visual-evidence\annflora-crystal-weave-20260713\prod_050.png","prod_050.png","prod_050_8mm","One local image may serve several size variants."
"Annflora Crystal Weave","bead","Agate","Yellow Agate","黄玛瑙","not disclosed","not disclosed","not stated (round-looking image)","10","10","8","source material-card price","not stated","D:\Code\knowledge-base\01-AI营销\04-选品库\C端\01-疗愈水晶\07-互动工具\crystal-bracelet-builder\data\v3\research\overseas-visual-evidence\annflora-crystal-weave-20260713\prod_050.png","prod_050.png","prod_050_10mm","One local image may serve several size variants."
"Annflora Crystal Weave","bead","Agate","Yellow Agate","黄玛瑙","not disclosed","not disclosed","not stated (round-looking image)","12","12","12","source material-card price","not stated","D:\Code\knowledge-base\01-AI营销\04-选品库\C端\01-疗愈水晶\07-互动工具\crystal-bracelet-builder\data\v3\research\overseas-visual-evidence\annflora-crystal-weave-20260713\prod_050.png","prod_050.png","prod_050_12mm","One local image may serve several size variants."
"Annflora Crystal Weave","bead","Amazonite","Amazonite","天河石","not disclosed","not disclosed","not stated (round-looking image)","8","8","5","source material-card price","not stated","D:\Code\knowledge-base\01-AI营销\04-选品库\C端\01-疗愈水晶\07-互动工具\crystal-bracelet-builder\data\v3\research\overseas-visual-evidence\annflora-crystal-weave-20260713\prod_016.png","prod_016.png","prod_016_8mm","One local image may serve several size variants."
"Annflora Crystal Weave","bead","Amazonite","Amazonite","天河石","not disclosed","not disclosed","not stated (round-looking image)","10","10","8","source material-card price","not stated","D:\Code\knowledge-base\01-AI营销\04-选品库\C端\01-疗愈水晶\07-互动工具\crystal-bracelet-builder\data\v3\research\overseas-visual-evidence\annflora-crystal-weave-20260713\prod_016.png","prod_016.png","prod_016_10mm","One local image may serve several size variants."
"Annflora Crystal Weave","bead","Amazonite","Amazonite","天河石","not disclosed","not disclosed","not stated (round-looking image)","12","12","12","source material-card price","not stated","D:\Code\knowledge-base\01-AI营销\04-选品库\C端\01-疗愈水晶\07-互动工具\crystal-bracelet-builder\data\v3\research\overseas-visual-evidence\annflora-crystal-weave-20260713\prod_016.png","prod_016.png","prod_016_12mm","One local image may serve several size variants."
"Annflora Crystal Weave","bead","Amethyst","Amethyst Rondelle","紫水晶跑环","not disclosed","not disclosed","non-round (4 x 15 mm)","15","15 x 4","3","source material-card price","not stated","D:\Code\knowledge-base\01-AI营销\04-选品库\C端\01-疗愈水晶\07-互动工具\crystal-bracelet-builder\data\v3\research\overseas-visual-evidence\annflora-crystal-weave-20260713\prod_069.png","prod_069.png","prod_069","One local image may serve several size variants."
"Annflora Crystal Weave","bead","Amethyst","Brazilian Ametrine","巴西紫水金","not disclosed","not disclosed","not stated (round-looking image)","8","8","5","source material-card price","not stated","D:\Code\knowledge-base\01-AI营销\04-选品库\C端\01-疗愈水晶\07-互动工具\crystal-bracelet-builder\data\v3\research\overseas-visual-evidence\annflora-crystal-weave-20260713\prod_068.jpg","prod_068.jpg","prod_068_8mm","One local image may serve several size variants."
"Annflora Crystal Weave","bead","Amethyst","Brazilian Ametrine","巴西紫水金","not disclosed","not disclosed","not stated (round-looking image)","10","10","8","source material-card price","not stated","D:\Code\knowledge-base\01-AI营销\04-选品库\C端\01-疗愈水晶\07-互动工具\crystal-bracelet-builder\data\v3\research\overseas-visual-evidence\annflora-crystal-weave-20260713\prod_068.jpg","prod_068.jpg","prod_068_10mm","One local image may serve several size variants."
"Annflora Crystal Weave","bead","Amethyst","Brazilian Ametrine","巴西紫水金","not disclosed","not disclosed","not stated (round-looking image)","12","12","12","source material-card price","not stated","D:\Code\knowledge-base\01-AI营销\04-选品库\C端\01-疗愈水晶\07-互动工具\crystal-bracelet-builder\data\v3\research\overseas-visual-evidence\annflora-crystal-weave-20260713\prod_068.jpg","prod_068.jpg","prod_068_12mm","One local image may serve several size variants."
"Annflora Crystal Weave","bead","Amethyst","Lavender Amethyst","薰衣草紫水晶","not disclosed","not disclosed","not stated (round-looking image)","8","8","5","source material-card price","not stated","D:\Code\knowledge-base\01-AI营销\04-选品库\C端\01-疗愈水晶\07-互动工具\crystal-bracelet-builder\data\v3\research\overseas-visual-evidence\annflora-crystal-weave-20260713\prod_070.png","prod_070.png","prod_070_8mm","One local image may serve several size variants."
"Annflora Crystal Weave","bead","Amethyst","Lavender Amethyst","薰衣草紫水晶","not disclosed","not disclosed","not stated (round-looking image)","10","10","8","source material-card price","not stated","D:\Code\knowledge-base\01-AI营销\04-选品库\C端\01-疗愈水晶\07-互动工具\crystal-bracelet-builder\data\v3\research\overseas-visual-evidence\annflora-crystal-weave-20260713\prod_070.png","prod_070.png","prod_070_10mm","One local image may serve several size variants."
"Annflora Crystal Weave","bead","Amethyst","Lavender Amethyst","薰衣草紫水晶","not disclosed","not disclosed","not stated (round-looking image)","12","12","12","source material-card price","not stated","D:\Code\knowledge-base\01-AI营销\04-选品库\C端\01-疗愈水晶\07-互动工具\crystal-bracelet-builder\data\v3\research\overseas-visual-evidence\annflora-crystal-weave-20260713\prod_070.png","prod_070.png","prod_070_12mm","One local image may serve several size variants."
"Annflora Crystal Weave","bead","Amethyst","Uruguayan Amethyst","乌拉圭紫水晶","not disclosed","not disclosed","not stated (round-looking image)","8","8","5","source material-card price","not stated","D:\Code\knowledge-base\01-AI营销\04-选品库\C端\01-疗愈水晶\07-互动工具\crystal-bracelet-builder\data\v3\research\overseas-visual-evidence\annflora-crystal-weave-20260713\prod_067.png","prod_067.png","prod_067_8mm","One local image may serve several size variants."
"Annflora Crystal Weave","bead","Amethyst","Uruguayan Amethyst","乌拉圭紫水晶","not disclosed","not disclosed","not stated (round-looking image)","10","10","8","source material-card price","not stated","D:\Code\knowledge-base\01-AI营销\04-选品库\C端\01-疗愈水晶\07-互动工具\crystal-bracelet-builder\data\v3\research\overseas-visual-evidence\annflora-crystal-weave-20260713\prod_067.png","prod_067.png","prod_067_10mm","One local image may serve several size variants."
"Annflora Crystal Weave","bead","Amethyst","Uruguayan Amethyst","乌拉圭紫水晶","not disclosed","not disclosed","not stated (round-looking image)","12","12","12","source material-card price","not stated","D:\Code\knowledge-base\01-AI营销\04-选品库\C端\01-疗愈水晶\07-互动工具\crystal-bracelet-builder\data\v3\research\overseas-visual-evidence\annflora-crystal-weave-20260713\prod_067.png","prod_067.png","prod_067_12mm","One local image may serve several size variants."
"Annflora Crystal Weave","bead","Aquamarine","Aquamarine Rondelle","海蓝宝跑环","not disclosed","not disclosed","non-round (4 x 15 mm)","15","15 x 4","3","source material-card price","not stated","D:\Code\knowledge-base\01-AI营销\04-选品库\C端\01-疗愈水晶\07-互动工具\crystal-bracelet-builder\data\v3\research\overseas-visual-evidence\annflora-crystal-weave-20260713\prod_042.png","prod_042.png","prod_042","One local image may serve several size variants."
"Annflora Crystal Weave","bead","Aquamarine","Cream Blue Aquamarine","奶油蓝海蓝宝","not disclosed","not disclosed","not stated (round-looking image)","8","8","5","source material-card price","not stated","D:\Code\knowledge-base\01-AI营销\04-选品库\C端\01-疗愈水晶\07-互动工具\crystal-bracelet-builder\data\v3\research\overseas-visual-evidence\annflora-crystal-weave-20260713\prod_041.png","prod_041.png","prod_041_8mm","One local image may serve several size variants."
"Annflora Crystal Weave","bead","Aquamarine","Cream Blue Aquamarine","奶油蓝海蓝宝","not disclosed","not disclosed","not stated (round-looking image)","10","10","8","source material-card price","not stated","D:\Code\knowledge-base\01-AI营销\04-选品库\C端\01-疗愈水晶\07-互动工具\crystal-bracelet-builder\data\v3\research\overseas-visual-evidence\annflora-crystal-weave-20260713\prod_041.png","prod_041.png","prod_041_10mm","One local image may serve several size variants."
