"source","component_type","category","material_name_en","material_name_cn","color_or_family","grade","form","size_price_list","availability","local_image_files","image_count","variant_count","price_type","notes"
"Annflora Crystal Weave","bead","Cinnabar","High-Content Red Sand","高含量红砂","not disclosed","not disclosed","not stated (round-looking image)","8 mm = $5 | 10 mm = $8 | 12 mm = $12","not stated","prod_038.jpg","1","3","source material-card price","Research copy only; not approved for Earthward production."
"Annflora Crystal Weave","bead","Citrine","Citrine Cat Paw","黄水晶猫爪","not disclosed","not disclosed","special form (see name)","12 mm = $12","unavailable","prod_090.png","1","1","source material-card price","Research copy only; not approved for Earthward production."
"Annflora Crystal Weave","bead","Citrine","Citrine Tower","黄塔晶","not disclosed","not disclosed","special form (see name)","8 mm = $5 | 10 mm = $8 | 12 mm = $12","not stated","prod_089.png","1","3","source material-card price","Research copy only; not approved for Earthward production."
"Annflora Crystal Weave","bead","Citrine","Lemon Citrine (Transparent)","透体柠檬黄水晶","not disclosed","not disclosed","not stated (round-looking image)","8 mm = $5 | 10 mm = $8 | 12 mm = $12","not stated","prod_088.png","1","3","source material-card price","Research copy only; not approved for Earthward production."
"Annflora Crystal Weave","bead","Clear Quartz","Bridal Sparkle White Azeztulite","婚纱闪白阿塞","not disclosed","not disclosed","not stated (round-looking image)","8 mm = $5 | 10 mm = $8 | 12 mm = $12","not stated","prod_054.jpg","1","3","source material-card price","Research copy only; not approved for Earthward production."
"Annflora Crystal Weave","bead","Clear Quartz","Clear Quartz (Pure)","净体白水晶","not disclosed","not disclosed","not stated (round-looking image)","6 mm = $3 | 8 mm = $5 | 10 mm = $8 | 12 mm = $12","not stated","prod_052.png","1","4","source material-card price","Research copy only; not approved for Earthward production."
"Annflora Crystal Weave","bead","Clear Quartz","Clear Quartz Bear","白水晶小熊","not disclosed","not disclosed","special form (see name)","12 mm = $12","unavailable","prod_057.png","1","1","source material-card price","Research copy only; not approved for Earthward production."
"Annflora Crystal Weave","bead","Clear Quartz","Clear Quartz Bow","白水晶蝴蝶结","not disclosed","not disclosed","special form (see name)","12 mm = $12","unavailable","prod_061.png","1","1","source material-card price","Research copy only; not approved for Earthward production."
"Annflora Crystal Weave","bead","Clear Quartz","Clear Quartz Cube (Large)","白水晶立方（大）","not disclosed","not disclosed","special form (see name)","14 mm = $16","not stated","prod_059.png","1","1","source material-card price","Research copy only; not approved for Earthward production."
"Annflora Crystal Weave","bead","Clear Quartz","Clear Quartz Cube (Small)","白水晶立方（小）","not disclosed","not disclosed","special form (see name)","10 mm = $8","not stated","prod_059.png","1","1","source material-card price","Research copy only; not approved for Earthward production."
"Annflora Crystal Weave","bead","Clear Quartz","Clear Quartz Freeform","白水晶随形","not disclosed","not disclosed","non-round (10 x 8 mm)","8 x 10 mm = $8","not stated","prod_063.png","1","1","source material-card price","Research copy only; not approved for Earthward production."
"Annflora Crystal Weave","bead","Clear Quartz","Clear Quartz Freeform Cube","白水晶方体随形","not disclosed","not disclosed","special form (see name)","10 mm = $8","not stated","prod_058.png","1","1","source material-card price","Research copy only; not approved for Earthward production."
