"source","component_type","category","material_name_en","material_name_cn","color_or_family","grade","form","size_price_list","availability","local_image_files","image_count","variant_count","price_type","notes"
"MoonArq Studio","bead","crystal","Rose Quartz","rose quartz 粉水晶","Rose","R1","not stated (round-looking image)","6 mm = $2 | 8 mm = $4 | 10 mm = $6 | 12 mm = $0 | 14 mm = $10","not stated","bd-rq-06-r1.png | bd-rq-08-r1.png | bd-rq-10-r1.png | bd-rq-12-r1.png | bd-rq-14-r1.png","5","5","incremental price per selected bead; base price separate","Research copy only; not approved for Earthward production."
"MoonArq Studio","bead","crystal","Strawberry Quartz","strawberry quartz 草莓晶","Rose","R1","not stated (round-looking image)","6 mm = $0 | 8 mm = $1 | 10 mm = $2 | 12 mm = $3 | 14 mm = $4","not stated","bd-sq-06-r1.png | bd-sq-08-r1.png | bd-sq-10-r1.png | bd-sq-12-r1.png | bd-sq-14-r1.png","5","5","incremental price per selected bead; base price separate","Research copy only; not approved for Earthward production."
"MoonArq Studio","bead","crystal","Sunstone","sunstone 红太阳阿鲁沙","Amber","R1","not stated (round-looking image)","8 mm = $0","not stated","bd-st-08-r1.png","1","1","incremental price per selected bead; base price separate","Research copy only; not approved for Earthward production."
"MoonArq Studio","bead","crystal","Uruguay Amethyst","uruguay amethyst 乌拉圭紫晶","Purple","R2","not stated (round-looking image)","6 mm = $1 | 8 mm = $2 | 10 mm = $3 | 12 mm = $6 | 14 mm = $9","not stated","bd-ua-06-r2.png | bd-ua-08-r2.png | bd-ua-10-r2.png | bd-ua-12-r2.png | bd-ua-14-r2.png","5","5","incremental price per selected bead; base price separate","Research copy only; not approved for Earthward production."
"MoonArq Studio","bead","crystal","White Crystal Cube","white crystal cube 白冰块","Clear","S1","not stated (round-looking image)","10 mm = $4 | 14 mm = $8","not stated","bd-wc-10-s1.png | bd-wc-14-s1.png","2","2","incremental price per selected bead; base price separate","Research copy only; not approved for Earthward production."
"MoonArq Studio","bead","stone","Blue Tiger's Eye","blue tiger's eye 蓝虎眼","Dark","R1","not stated (round-looking image)","6 mm = $0 | 8 mm = $4 | 10 mm = $0 | 12 mm = $0 | 14 mm = $0","not stated","bd-bt-06-r1.png | bd-bt-08-r1.png | bd-bt-10-r1.png | bd-bt-12-r1.png | bd-bt-14-r1.png","5","5","incremental price per selected bead; base price separate","Research copy only; not approved for Earthward production."
"MoonArq Studio","bead","stone","Golden Shine Obsidian","golden shine obsedian 金耀石","Dark","R1","not stated (round-looking image)","6 mm = $1 | 8 mm = $1 | 10 mm = $1 | 12 mm = $2 | 14 mm = $4","not stated","bd-go-06-r1.png | bd-go-08-r1.png | bd-go-10-r1.png | bd-go-12-r1.png | bd-go-14-r1.png","5","5","incremental price per selected bead; base price separate","Research copy only; not approved for Earthward production."
"MoonArq Studio","bead","stone","Golden Tiger's Eye","golden tiger's eye 金虎眼","Gold","R1","not stated (round-looking image)","6 mm = $2 | 8 mm = $4 | 10 mm = $6 | 12 mm = $8 | 14 mm = $10 | 16 mm = $10","not stated","bd-gt-06-r1.png | bd-gt-08-r1.png | bd-gt-10-r1.png | bd-gt-12-r1.png | bd-gt-14-r1.png | bd-gt-16-r1.png","6","6","incremental price per selected bead; base price separate","Research copy only; not approved for Earthward production."
"MoonArq Studio","bead","stone","Silver Shine Obsidian","silver shine obsidian 银耀石","Smoke","R1","not stated (round-looking image)","6 mm = $1 | 8 mm = $1 | 10 mm = $2 | 12 mm = $4 | 14 mm = $8","not stated","bd-so-06-r1.png | bd-so-08-r1.png | bd-so-10-r1.png | bd-so-12-r1.png | bd-so-14-r1.png","5","5","incremental price per selected bead; base price separate","Research copy only; not approved for Earthward production."
"MoonArq Studio","bead","stone","Yellow Tiger's Eye","yellow tiger’s eye 黄虎眼","Gold","R1","not stated (round-looking image)","6 mm = $1 | 8 mm = $2 | 10 mm = $4 | 12 mm = $6 | 14 mm = $8","not stated","bd-yt-06-r1.png | bd-yt-08-r1.png | bd-yt-10-r1.png | bd-yt-12-r1.png | bd-yt-14-r1.png","5","5","incremental price per selected bead; base price separate","Research copy only; not approved for Earthward production."
