"design_id","component_order","material_name_original","size_or_spec_original","quantity","source_row_price","source_price_unit_status","notes"
"zhulegezhu-design-square-20260714-niboer",,"白水晶",,,,,"来源详情页显示值；不推断为整串成本。"
"zhulegezhu-design-square-20260714-niboer",,"隔片",,,,,"来源详情页显示值；不推断为整串成本。"
"zhulegezhu-design-square-20260714-niboer",,"蓝晶石",,,,,"来源详情页显示值；不推断为整串成本。"
"zhulegezhu-design-square-20260714-niboer",,"圆珠(钛钢)",,,,,"来源详情页显示值；不推断为整串成本。"
"zhulegezhu-design-square-20260714-niboer",,"恶魔之眼",,,,,"来源详情页显示值；不推断为整串成本。"
