"design_id","component_order","material_name_original","size_or_spec_original","quantity","source_row_price","source_price_unit_status","notes"
"zhulegezhu-design-square-20260714-ziyouyuai",,"黑曜石",,,,,"来源详情页显示值；不推断为整串成本。"
"zhulegezhu-design-square-20260714-ziyouyuai",,"十字架",,,,,"来源详情页显示值；不推断为整串成本。"
"zhulegezhu-design-square-20260714-ziyouyuai",,"隔珠",,,,,"来源详情页显示值；不推断为整串成本。"
"zhulegezhu-design-square-20260714-ziyouyuai",,"十字架",,,,,"来源详情页显示值；不推断为整串成本。"
"zhulegezhu-design-square-20260714-ziyouyuai",,"十字架",,,,,"来源详情页显示值；不推断为整串成本。"
