material_key,source_product_name_zh,source_image_path,upload_filename,wordpress_attachment_id,wordpress_media_url,upload_status
linganshi-b50f8e037250,芬达色胶花,C:\Users\Dylan\Desktop\灵感石验室\芬达色胶花.webp,linganshi-b50f8e037250.webp,56430,https://goearthward.com/wp-content/uploads/2026/07/linganshi-b50f8e037250.webp,uploaded-t17-catalog-media
linganshi-a306a12d25fc,白幽灵,C:\Users\Dylan\Desktop\灵感石验室\白幽灵.webp,linganshi-a306a12d25fc.webp,56431,https://goearthward.com/wp-content/uploads/2026/07/linganshi-a306a12d25fc.webp,uploaded-t17-catalog-media
linganshi-c3623ee0ac9d,满天星绿幽灵,C:\Users\Dylan\Desktop\灵感石验室\满天星绿幽灵.webp,linganshi-c3623ee0ac9d.webp,56432,https://goearthward.com/wp-content/uploads/2026/07/linganshi-c3623ee0ac9d.webp,uploaded-t17-catalog-media
linganshi-9333e2f8ca95,千层彩幽灵,C:\Users\Dylan\Desktop\灵感石验室\千层彩幽灵.webp,linganshi-9333e2f8ca95.webp,56433,https://goearthward.com/wp-content/uploads/2026/07/linganshi-9333e2f8ca95.webp,uploaded-t17-catalog-media
linganshi-26658b32ce46,奶油体雪花幽灵,C:\Users\Dylan\Desktop\灵感石验室\奶油体雪花幽灵.webp,linganshi-26658b32ce46.webp,56434,https://goearthward.com/wp-content/uploads/2026/07/linganshi-26658b32ce46.webp,uploaded-t17-catalog-media
linganshi-d38805893220,半盆绿幽灵,C:\Users\Dylan\Desktop\灵感石验室\半盆绿幽灵.webp,linganshi-d38805893220.webp,56435,https://goearthward.com/wp-content/uploads/2026/07/linganshi-d38805893220.webp,uploaded-t17-catalog-media
linganshi-0097fe85f932,透体雪花幽灵,C:\Users\Dylan\Desktop\灵感石验室\透体雪花幽灵.webp,linganshi-0097fe85f932.webp,56436,https://goearthward.com/wp-content/uploads/2026/07/linganshi-0097fe85f932.webp,uploaded-t17-catalog-media
linganshi-0c53bd2309bc,千层绿幽灵,C:\Users\Dylan\Desktop\灵感石验室\千层绿幽灵.webp,linganshi-0c53bd2309bc.webp,56437,https://goearthward.com/wp-content/uploads/2026/07/linganshi-0c53bd2309bc.webp,uploaded-t17-catalog-media
linganshi-26dc9a768b5c,浅色草莓晶,C:\Users\Dylan\Desktop\灵感石验室\浅色草莓晶.webp,linganshi-26dc9a768b5c.webp,56438,https://goearthward.com/wp-content/uploads/2026/07/linganshi-26dc9a768b5c.webp,uploaded-t17-catalog-media
linganshi-bfd55acbc1b3,草莓晶,C:\Users\Dylan\Desktop\灵感石验室\草莓晶.webp,linganshi-bfd55acbc1b3.webp,56439,https://goearthward.com/wp-content/uploads/2026/07/linganshi-bfd55acbc1b3.webp,uploaded-t17-catalog-media
linganshi-ffe0832bbe84,蓝晶石,C:\Users\Dylan\Desktop\灵感石验室\蓝晶石.webp,linganshi-ffe0832bbe84.webp,56440,https://goearthward.com/wp-content/uploads/2026/07/linganshi-ffe0832bbe84.webp,uploaded-t17-catalog-media
linganshi-1c37899f90f5,深茶晶,C:\Users\Dylan\Desktop\灵感石验室\深茶晶.webp,linganshi-1c37899f90f5.webp,56441,https://goearthward.com/wp-content/uploads/2026/07/linganshi-1c37899f90f5.webp,uploaded-t17-catalog-media
linganshi-2eb69dcea947,浅茶晶,C:\Users\Dylan\Desktop\灵感石验室\浅茶晶.webp,linganshi-2eb69dcea947.webp,56442,https://goearthward.com/wp-content/uploads/2026/07/linganshi-2eb69dcea947.webp,uploaded-t17-catalog-media
linganshi-e4a2d947fca2,透体黑金超,C:\Users\Dylan\Desktop\灵感石验室\透体黑金超.webp,linganshi-e4a2d947fca2.webp,56443,https://goearthward.com/wp-content/uploads/2026/07/linganshi-e4a2d947fca2.webp,uploaded-t17-catalog-media
linganshi-c83a6c795be2,黑金超七色浓,C:\Users\Dylan\Desktop\灵感石验室\黑金超七色浓.webp,linganshi-c83a6c795be2.webp,56444,https://goearthward.com/wp-content/uploads/2026/07/linganshi-c83a6c795be2.webp,uploaded-t17-catalog-media
linganshi-3d22241241ee,满发黑金超七,C:\Users\Dylan\Desktop\灵感石验室\满发黑金超七.webp,linganshi-3d22241241ee.webp,56445,https://goearthward.com/wp-content/uploads/2026/07/linganshi-3d22241241ee.webp,uploaded-t17-catalog-media
linganshi-34648b506b08,高品金发晶,C:\Users\Dylan\Desktop\灵感石验室\高品金发晶.webp,linganshi-34648b506b08.webp,56446,https://goearthward.com/wp-content/uploads/2026/07/linganshi-34648b506b08.webp,uploaded-t17-catalog-media
linganshi-f2b785a652e1,黑发晶浅色,C:\Users\Dylan\Desktop\灵感石验室\黑发晶浅色.webp,linganshi-f2b785a652e1.webp,56447,https://goearthward.com/wp-content/uploads/2026/07/linganshi-f2b785a652e1.webp,uploaded-t17-catalog-media
linganshi-02bb151b0e4d,透体黑发晶,C:\Users\Dylan\Desktop\灵感石验室\透体黑发晶.webp,linganshi-02bb151b0e4d.webp,56448,https://goearthward.com/wp-content/uploads/2026/07/linganshi-02bb151b0e4d.webp,uploaded-t17-catalog-media
linganshi-35ca7ee59e2f,金发晶,C:\Users\Dylan\Desktop\灵感石验室\金发晶.webp,linganshi-35ca7ee59e2f.webp,56449,https://goearthward.com/wp-content/uploads/2026/07/linganshi-35ca7ee59e2f.webp,uploaded-t17-catalog-media
linganshi-56c326748431,满发绿发晶,C:\Users\Dylan\Desktop\灵感石验室\满发绿发晶.webp,linganshi-56c326748431.webp,56450,https://goearthward.com/wp-content/uploads/2026/07/linganshi-56c326748431.webp,uploaded-t17-catalog-media
linganshi-ca0636ed57c0,黑发晶深色,C:\Users\Dylan\Desktop\灵感石验室\黑发晶深色.webp,linganshi-ca0636ed57c0.webp,56451,https://goearthward.com/wp-content/uploads/2026/07/linganshi-ca0636ed57c0.webp,uploaded-t17-catalog-media
linganshi-0a041b98383c,浅色绿发晶,C:\Users\Dylan\Desktop\灵感石验室\浅色绿发晶.webp,linganshi-0a041b98383c.webp,56452,https://goearthward.com/wp-content/uploads/2026/07/linganshi-0a041b98383c.webp,uploaded-t17-catalog-media
linganshi-a9194943876d,闪灵,C:\Users\Dylan\Desktop\灵感石验室\闪灵.webp,linganshi-a9194943876d.webp,56453,https://goearthward.com/wp-content/uploads/2026/07/linganshi-a9194943876d.webp,uploaded-t17-catalog-media
linganshi-febef06a434f,岫玉,C:\Users\Dylan\Desktop\灵感石验室\岫玉.webp,linganshi-febef06a434f.webp,56454,https://goearthward.com/wp-content/uploads/2026/07/linganshi-febef06a434f.webp,uploaded-t17-catalog-media
linganshi-4e2626312e6c,青提奶盖,C:\Users\Dylan\Desktop\灵感石验室\青提奶盖.webp,linganshi-4e2626312e6c.webp,56455,https://goearthward.com/wp-content/uploads/2026/07/linganshi-4e2626312e6c.webp,uploaded-t17-catalog-media
linganshi-531963308ec0,紫锂辉,C:\Users\Dylan\Desktop\灵感石验室\紫锂辉.webp,linganshi-531963308ec0.webp,56456,https://goearthward.com/wp-content/uploads/2026/07/linganshi-531963308ec0.webp,uploaded-t17-catalog-media
linganshi-aacec3d67adf,蓝虎眼,C:\Users\Dylan\Desktop\灵感石验室\蓝虎眼.webp,linganshi-aacec3d67adf.webp,56676,https://goearthward.com/wp-content/uploads/2026/07/linganshi-aacec3d67adf.webp,uploaded-t17-catalog-media
linganshi-b7faca875393,黄虎眼,C:\Users\Dylan\Desktop\灵感石验室\黄虎眼.webp,linganshi-b7faca875393.webp,56457,https://goearthward.com/wp-content/uploads/2026/07/linganshi-b7faca875393.webp,uploaded-t17-catalog-media
linganshi-d33d88d570f5,黄萤石,C:\Users\Dylan\Desktop\灵感石验室\黄萤石.webp,linganshi-d33d88d570f5.webp,56458,https://goearthward.com/wp-content/uploads/2026/07/linganshi-d33d88d570f5.webp,uploaded-t17-catalog-media
