"design_id","component_order","material_name_original","size_or_spec_original","quantity","source_row_price","source_price_unit_status","notes"
"zhulegezhu-design-square-20260714-danning",,"沉香隔片",,,,,"来源详情页显示值；不推断为整串成本。"
"zhulegezhu-design-square-20260714-danning",,"白水晶冰块",,,,,"来源详情页显示值；不推断为整串成本。"
"zhulegezhu-design-square-20260714-danning",,"碧玉",,,,,"来源详情页显示值；不推断为整串成本。"
"zhulegezhu-design-square-20260714-danning",,"桃花(沙金)",,,,,"来源详情页显示值；不推断为整串成本。"
"zhulegezhu-design-square-20260714-danning",,"南红",,,,,"来源详情页显示值；不推断为整串成本。"
