"design_id","component_order","material_name_original","size_or_spec_original","quantity","source_row_price","source_price_unit_status","notes"
"zhulegezhu-design-square-20260714-xuanshuangxu",,"黑曜石",,,,,"来源详情页显示值；不推断为整串成本。"
"zhulegezhu-design-square-20260714-xuanshuangxu",,"银曜石",,,,,"来源详情页显示值；不推断为整串成本。"
"zhulegezhu-design-square-20260714-xuanshuangxu",,"锆石隔片",,,,,"来源详情页显示值；不推断为整串成本。"
"zhulegezhu-design-square-20260714-xuanshuangxu",,"贝珠跑环",,,,,"来源详情页显示值；不推断为整串成本。"
"zhulegezhu-design-square-20260714-xuanshuangxu",,"白水晶",,,,,"来源详情页显示值；不推断为整串成本。"
"zhulegezhu-design-square-20260714-xuanshuangxu",,"贝珠",,,,,"来源详情页显示值；不推断为整串成本。"
"zhulegezhu-design-square-20260714-xuanshuangxu",,"葫芦链",,,,,"来源详情页显示值；不推断为整串成本。"
"zhulegezhu-design-square-20260714-xuanshuangxu",,"雪花水晶",,,,,"来源详情页显示值；不推断为整串成本。"
