"design_id","component_order","material_name_original","size_or_spec_original","quantity","source_row_price","source_price_unit_status","notes"
"zhulegezhu-design-square-20260714-yuanxiang",,"白水晶",,,,,"来源详情页显示值；不推断为整串成本。"
"zhulegezhu-design-square-20260714-yuanxiang",,"隔片",,,,,"来源详情页显示值；不推断为整串成本。"
"zhulegezhu-design-square-20260714-yuanxiang",,"沉香隔片",,,,,"来源详情页显示值；不推断为整串成本。"
"zhulegezhu-design-square-20260714-yuanxiang",,"沉香隔片",,,,,"来源详情页显示值；不推断为整串成本。"
"zhulegezhu-design-square-20260714-yuanxiang",,"沉香隔片",,,,,"来源详情页显示值；不推断为整串成本。"
