"design_id","component_order","material_name_original","size_or_spec_original","quantity","source_row_price","source_price_unit_status","notes"
"zhulegezhu-design-square-20260714-suishuihongfu",,"冰糖雪梨黄水晶",,,,,"来源详情页显示值；不推断为整串成本。"
"zhulegezhu-design-square-20260714-suishuihongfu",,"绿松石隔珠",,,,,"来源详情页显示值；不推断为整串成本。"
"zhulegezhu-design-square-20260714-suishuihongfu",,"红玛瑙",,,,,"来源详情页显示值；不推断为整串成本。"
"zhulegezhu-design-square-20260714-suishuihongfu",,"隔片",,,,,"来源详情页显示值；不推断为整串成本。"
"zhulegezhu-design-square-20260714-suishuihongfu",,"蜜蜡",,,,,"来源详情页显示值；不推断为整串成本。"
