"design_id","component_order","material_name_original","size_or_spec_original","quantity","source_row_price","source_price_unit_status","notes"
"zhulegezhu-design-square-20260714-miaoyupingan",,"银珠(s925)",,,,,"来源详情页显示值；不推断为整串成本。"
"zhulegezhu-design-square-20260714-miaoyupingan",,"圆珠(钛钢)",,,,,"来源详情页显示值；不推断为整串成本。"
"zhulegezhu-design-square-20260714-miaoyupingan",,"银珠(s925)",,,,,"来源详情页显示值；不推断为整串成本。"
"zhulegezhu-design-square-20260714-miaoyupingan",,"桂花",,,,,"来源详情页显示值；不推断为整串成本。"
"zhulegezhu-design-square-20260714-miaoyupingan",,"大头KT猫(沙金)",,,,,"来源详情页显示值；不推断为整串成本。"
"zhulegezhu-design-square-20260714-miaoyupingan",,"平安喜乐",,,,,"来源详情页显示值；不推断为整串成本。"
