"design_id","component_order","material_name_original","size_or_spec_original","quantity","source_row_price","source_price_unit_status","notes"
"zhulegezhu-design-square-20260714-fuxinggaozhao",,"紫金砂",,,,,"来源详情页显示值；不推断为整串成本。"
"zhulegezhu-design-square-20260714-fuxinggaozhao",,"花丝球",,,,,"来源详情页显示值；不推断为整串成本。"
"zhulegezhu-design-square-20260714-fuxinggaozhao",,"圆珠(钛钢)",,,,,"来源详情页显示值；不推断为整串成本。"
"zhulegezhu-design-square-20260714-fuxinggaozhao",,"招财葫芦",,,,,"来源详情页显示值；不推断为整串成本。"
"zhulegezhu-design-square-20260714-fuxinggaozhao",,"黑曜石",,,,,"来源详情页显示值；不推断为整串成本。"
"zhulegezhu-design-square-20260714-fuxinggaozhao",,"兔守护神(沙金)",,,,,"来源详情页显示值；不推断为整串成本。"
"zhulegezhu-design-square-20260714-fuxinggaozhao",,"白幽灵",,,,,"来源详情页显示值；不推断为整串成本。"
